Country,Year,Attack_Type,Target_Industry,Financial_Loss_in_Million_$,Number_of_Affected_Users,Attack_Source,Security_Vulnerability_Type,Defense_Mechanism_Used,Incident_Resolution_Time_in_Hours,loss_per_user,log_affected_users,log_financial_loss,risk_cluster,risk_profile_name
Germany,2018,Man-in-the-Middle,IT,74.41,810682,Insider,Social Engineering,VPN,68,91.78691521459709,13.605632381223431,4.322939892214555,2,High Loss Long Resolution Incidents
Japan,2017,Phishing,Telecommunications,75.84,383395,Hacker Group,Zero-day,VPN,31,197.81165638571187,12.856823676571079,4.341725337900356,0,High Loss Fast Resolution Incidents
USA,2022,Ransomware,Education,21.01,787752,Nation-state,Weak Passwords,Antivirus,9,26.670830413632718,13.57693986792709,3.0914968955383704,0,High Loss Fast Resolution Incidents
France,2024,Phishing,Government,5.8,508649,Hacker Group,Unpatched Software,Firewall,66,11.402755141561274,13.139515436221894,1.916922612182061,1,Low Loss Wide Exposure Incidents
Germany,2016,Man-in-the-Middle,Healthcare,90.2,779494,Nation-state,Social Engineering,AI-based Detection,54,115.71609274734635,13.566401553091211,4.513054897080286,2,High Loss Long Resolution Incidents
India,2018,Ransomware,Retail,23.79,486810,Hacker Group,Unpatched Software,Antivirus,11,48.86916866950145,13.095631236389101,3.210440346047099,0,High Loss Fast Resolution Incidents
UK,2017,Man-in-the-Middle,Government,48.9,177154,Unknown,Zero-day,Antivirus,68,276.03102385495106,12.08478033456367,3.910021002757473,2,High Loss Long Resolution Incidents
Australia,2015,Malware,Retail,99.41,120048,Insider,Zero-day,Antivirus,12,828.0854324936691,11.695655271752148,4.609261803891345,0,High Loss Fast Resolution Incidents
Australia,2016,Man-in-the-Middle,Government,31.92,163602,Hacker Group,Unpatched Software,VPN,26,195.10763927091355,12.005198040390969,3.494080375808869,0,High Loss Fast Resolution Incidents
Germany,2016,Ransomware,Education,29.89,385363,Unknown,Unpatched Software,Firewall,22,77.56323258849449,12.861943621154737,3.43043250693049,0,High Loss Fast Resolution Incidents
Russia,2016,SQL Injection,Telecommunications,95.93,595950,Nation-state,Social Engineering,AI-based Detection,11,160.9698800234919,13.297913727902568,4.573989068504517,0,High Loss Fast Resolution Incidents
